MAGNA POWERTRAIN,泸州长江机械有限公司
山东玲珑轮胎股份有限公司,德国大众汽车集团
江苏振江新能源装备股份有限公司,ENERCON GmbH
桂林福达股份有限公司,东风雷诺汽车有限公司
天津银龙预应力材料股份有限公司,中国核工业集团有限公司
东方锅炉股份有限公司,东方电气股份有限公司
山西西山煤电贸易有限责任公司,陕西投资集团有限公司
嘉美食品包装股份有限公司,河北养元智汇饮品股份有限公司
南京恩瑞特实业有限公司,南京轨道交通系统工程有限公司
湖南省机械设备进出口公司,广东联泰环保股份有限公司
广东力王高新科技股份有限公司,小米科技有限公司
浙江嘉利（丽水）工业股份有限公司,广汽三菱汽车有限公司
浙江银轮机械股份有限公司,东风雷诺汽车有限公司
浙江银轮机械股份有限公司,浙江吉利汽车零部件采购有限公司
虎符智能科技股份有限公司,烽火通信科技股份有限公司
深圳市凯中精密技术股份有限公司,德国采埃孚（ZF）集团
天津鹏翎集团股份有限公司,一汽大众汽车有限公司
武汉精测电子技术股份有限公司,美国苹果公司
河南环宇石化装备科技股份有限公司,中国石油化工集团公司
安徽中鼎密封件股份有限公司,北京车和家信息技术有限公司
哈尔滨东安汽车动力股份有限公司,北京车和家信息技术有限公司
山东雄狮建筑装饰股份有限公司,万科企业股份有限公司
广东力王高新科技股份有限公司,华为技术有限公司
恒宝股份有限公司,华夏银行股份有限公司
浙江德宏汽车电子电器股份有限公司,一汽吉林汽车有限公司
丰泽智能装备股份有限公司,中国交通建设股份有限公司
深圳市沃尔核材股份有限公司,中国核工业集团公司
安徽中鼎密封件股份有限公司,宁德时代新能源科技股份有限公司
广东英妮股份有限公司,中国民生银行股份有限公司
珠海汇金科技股份有限公司,中国工商银行股份有限公司
北京市金龙腾装饰股份有限公司,万科企业股份有限公司
广东莞银信息科技股份有限公司,中国移动通信集团广东有限公司
上海新世傲文化传播股份有限公司,中国银行股份有限公司
新天科技股份有限公司,华润燃气投资（中国）有限公司
恒宝股份有限公司,中国农业银行股份有限公司
上海古鳌电子科技股份有限公司,浙商银行股份有限公司
珠海汇金科技股份有限公司,交通银行股份有限公司
聚龙股份有限公司,中国民生银行股份有限公司
广东德生科技股份有限公司,海南省农村信用社联合社
安徽安利材料科技股份有限公司,美国耐克公司
宁波拓普集团股份有限公司,美国特斯拉
昆山迈致治具科技有限公司,华为技术有限公司
